Data as of,Start Date,End Date,Group,Year,Month,MMWR Week,Week Ending Date,State,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
10/24/24,12/29/19,1/4/20,By Week,2019/2020,,1,1/4/20,California,0,5887,94,468,0,45,513,
10/24/24,1/5/20,1/11/20,By Week,2020,,2,1/11/20,California,0,5873,93,431,0,54,485,
10/24/24,1/12/20,1/18/20,By Week,2020,,3,1/18/20,California,,5830,97,507,,67,574,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,1/19/20,1/25/20,By Week,2020,,4,1/25/20,California,0,5832,102,447,0,71,518,
10/24/24,1/26/20,2/1/20,By Week,2020,,5,2/1/20,California,0,5686,98,428,0,60,488,
10/24/24,2/2/20,2/8/20,By Week,2020,,6,2/8/20,California,,5913,105,450,0,68,519,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,2/9/20,2/15/20,By Week,2020,,7,2/15/20,California,0,5588,99,430,0,78,508,
10/24/24,2/16/20,2/22/20,By Week,2020,,8,2/22/20,California,,5797,103,463,0,72,536,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,2/23/20,2/29/20,By Week,2020,,9,2/29/20,California,0,5680,99,435,0,71,506,
10/24/24,3/1/20,3/7/20,By Week,2020,,10,3/7/20,California,,5736,101,482,,56,540,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,3/8/20,3/14/20,By Week,2020,,11,3/14/20,California,,5465,98,429,,54,488,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,3/15/20,3/21/20,By Week,2020,,12,3/21/20,California,44,5681,105,487,19,43,555,
10/24/24,3/22/20,3/28/20,By Week,2020,,13,3/28/20,California,132,5689,106,582,71,28,671,
10/24/24,3/29/20,4/4/20,By Week,2020,,14,4/4/20,California,290,5986,113,632,158,24,788,
10/24/24,4/5/20,4/11/20,By Week,2020,,15,4/11/20,California,382,6047,118,646,222,,811,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,4/12/20,4/18/20,By Week,2020,,16,4/18/20,California,537,6131,120,739,327,,956,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
